no,kode,sub_klasifikasi
428,3.07.02.05,Instalasi Bangunan Umum
429,3.07.03,Alat Atau Peralatan Atau Suku Cadang : Instalasi Atau Distribusi Zat Cair dan Gas
430,3.07.03.01,Alat/peralatan/suku cadang Instalasi Distribusi : Air Bersih dan Air Limbah
431,3.07.04,Alat Atau Peralatan Atau Suku Cadang Senjata Api dan Amunisi
432,3.07.05,Alat Atau Peralatan Atau Suku Cadang Bahan Peledak dan Airoteknik
433,3.07.06,"Alat Atau Peralatan Atau Suku Cadang Kesehatan, Laboratorium Kesehatan, Kedokteran dan Reagensia"
434,3.07.07,"Bahan Kimia, Bahan Baku Obat, Obat Jadi dan Farmasi"
435,3.07.08,Alat Atau Peralatan Atau Suku Cadang Atau Pendukung senjata Militer dan Polisi
436,3.07.09,Bahan Kimia Lainnya
437,3.07.09.12,Bahan Kimia Pencegahan Korosi Logam dan Lainnya
438,3.07.10,"Alat/ Peralatan: keamanan (diluar/selain senjata api, bahan peledak dan sejenisnya) / safety tool."
439,3.07.99,Subbidang Lainnya
440,4.00.,Bidang Jasa Real Estate
441,4.00.01,Perumahan dan Pemukiman
442,4.00.01.01,Perumahan
443,4.00.01.02,Rumah Susun
444,4.00.01.03,Kawasan Perumahan
445,4.00.02,Pengembangan Properti
446,4.00.02.01,Gedung Atau Ruang Perkantoran
447,4.00.02.02,Gedung atau Ruang Perbelanjaan dan Pertokoan
448,4.00.02.03,Kawasan Rekreasi
449,4.00.02.04,Kawasan Agro Estate
450,4.00.02.05,"Kawasan Atau Gedung Peristirahatan, Villa Atau Resort"
451,4.00.03,Pengembangan Kawasan industri
452,4.00.03.01,Gedung atau Ruang Industri
453,4.00.03.02,Gedung Pergudangan
454,4.00.04,Manajemen Properti
455,4.00.05,Jasa perantara ( Brokerage ) Real Estate dan Properti
456,4.00.99,Subbidang Lainnya
457,5.00.,Jasa Semua Bidang
458,5.00.01,"Penyelenggaraan Promosi MICE ( Meeting, Incentive, Convention and Exhibition)"
459,5.00.01.01,Penyelenggaraan Pertemuan ( Meeting )
460,5.00.01.02,Penyelenggaraan Incentive
461,5.00.01.03,Penyelenggaraan Konvensi (Convention)
462,5.00.01.04,Penyelenggaraan Pameran (Exhibition)
463,5.00.01.05,Pengurusan Pengiriman Barang Pameran
464,5.00.01.06,Penyediaan dan Pemasangan Stand Pameran
465,5.00.01.07,Penyediaan Barang Atau Jasa Pendukung MICE
466,5.00.01.08,Profesional Convention Organizer (PCO)
467,5.00.01.09,Event Organizer
468,5.00.02,Percetakan
469,5.00.03,Pemeliharaan dan Peralatan Kantor
470,5.00.04,"Pemeliharaan Alat Pustaka, Termasuk Pemeliharaan Barang Awetan Flora dan Fauna"
471,5.00.05,"Pemeliharaan Barang dan Peralatan Mekanikal, mesin-mesin, Elektrikal dan Elektronika"
472,5.00.06,"Jasa Pembersih, Pest Control, Termite Control, Fumigasi"
473,5.00.06.01,Pembersih
474,5.00.06.02,Jasa Pest Control
475,5.00.06.03,Jasa Termite Control
476,5.00.06.04,Jasa Fumigasi
477,5.00.06.05,Jasa Perawatan Taman Landscape
478,5.00.07,Penjahit dan Konveksi
479,5.00.08,Jasa Boga
480,5.00.10,Jasa Pemeliharaan Alat/ Peralatan Suku Cadang Energi Baru dan Terbarukan
481,5.00.99,Subbidang Lainnya
482,5.01.,Jasa Bidang Industri
483,5.01.01,Jasa Pengolahan Panas dan Permukaan Logam (Heat and Surface Treatment)
484,5.01.02,Jasa Pengujian dan Kalibrasi
485,5.01.03,Jasa Pemeliharaan dan Reparasi Mesin dan Peralatan Industri
486,5.01.99,Subbidang Lainnya
487,5.04.,Jasa Bidang Pertambangan Minyak dan Gas Bumi
488,5.04.01,Jasa Perawatan Pekerjaan Minyak dan Gas Bawah Air
489,5.04.99,Subbidang Lainnya
490,5.05.,Jasa Bidang Telematika
491,5.05.01,Jasa Pemelihara Telekomunikasi Darat
492,5.05.01.01,Pemelihara Sentral
493,5.05.01.02,Pemelihara Transmisi
494,5.05.01.03,Pemelihara Jaringan Telekomunikasi
495,5.05.01.04,Pemelihara Teknologi dan Sistem Informasi
