no,Merk
619,RE/MAX LINDAPRO
620,RAY WHITE JGC
621,Newman Pearsons International
622,Century21 Pratama
623,Richwell Property
624,COLDWELL BANKER - PROPERTY SOLUTIONS
625,SAP
626,IBC REALTY
627,JENDELA 360
628,SGP PROPERTY
629,TOTAL PROPERTY
630,ERA Peak
631,RE/MAX ONE
632,RE/MAX Solitaire
633,INDOSARI
634,Informasi Properti 
635,CENTURY21 AIRIS
636,Velvet Realty
637,KAY Realty
638,Dome Properti
639,Prima Gading Realty
640,PIINTU
641,Century21 Jaringan Utama
642,C21 AKN
643,Eight Property
644,RE/MAX 360
645,Ray White Kemayoran
646,Reall Pro Agency
647,Indohaus Property
648,Yutaka Pro
649,OSEDA Real Estate
650,Xeina Property
651,Coronial Real Estate 
652,Century21 CBD
653,Plus Property
654,Keepkeys Home
655,Rise Property
656,Habitat Property
657,ERA Prestige
658,Prop2Go API
659,Ferris Pro
660,Xavier Marks Menteng
661,Amna Property
662,LJ Hooker Taman Semanan
663,Prospero Property
664,Abie Property
665,Abie Property
666,RE/MAX Projects
667,Shinrai Properti
668,Avery Realty
669,MYPRO
670,MJ Home
671,GPI
672,Indo Estate
673,Xavier Marks Kay Greenlake
674,BT Property
675,ERA Win Gading
676,Blue House
677,PROMEX SERPONG Boulevard
678,XAVIER MARKS GADING SERPONG
679,MM Joy Property
680,NEO PROPERTY
681,Era Victoria Alam Sutera
682,Atiga
683,WAREHOUSE PROPERTY
684,DREAM HOME PROPERTY
685,FAMOUS & RICH PROPERTY
686,Solid Property
687,QUEEN PROPERTY
688,Tan Property
689,EXIST BSD City
690,BEST SERPONG
691,LJ Hooker Gading Serpong
692,VILAND PROPERTY AGEN
693,The Consultant Property
694,Joyful Property
695,JADE PRO
696,PROFITS PROPERTI
697,TDW Property
698,Ray White Central BSD
699,Delta Property
700,Liberti Pro
701,UNITED PROPERTY
702,HPP
703,Madrid Poperty
704,ERA FIESTA
705,One Flesh Property
706,QPRO
707,Icon Property Mendrisio
708,L'VI PROPERTY
709,BROLAND
710,Dream Home Mendrisio
711,FORTUNLAND PROPERTY
712,WRPROPER
713,LJ Hooker Icon BSD
714,EXCEED REALTY
715,Ohana Realty
716,MILYAR PROPERTI
717,Ray White Golden BSD
718,RAY WHITE BSD CITY
719,RED REALTY
720,Ray White Citra Raya
721,UNIQUE LAND
722,GOLDSMITH PERKASA
723,ERA CIPTA
724,DANIEL HOMES PROPERTY AGENT
725,East2West
726,COLLINS PROPERTY
727,PROMINENT PROPERTY
728,Alfaland Property
729,BUANALAND PROPERTY
730,GALERI RUMAH
731,PLATINUM PROPERTY
732,BERDIKARI PROPERTI
733,AW Realty
734,Landmark Property
735,PRIMEHOUSE PROPERTY
736,Victory Property
737,ERA  RADIANT
738,Exist Property Alam Sutera
739,Teos Property
740,ERA GRATIA
741,Channery Property
742,Lym's Property
743,Megatop Property
744,EVERLAND PROPERTY
745,FOSTER - REAL ESTATE AGENTS
746,Cetral One
747,Brighton Real Estate
748,Ray White Priority
749,RAINBOW PROPERTY
750,RAY WHITE KEBAYORAN BINTARO
751,SAHABAT PROPERTY
752,K 1 BATAVIA PESONALAND PROPERTI
753,Great Harvest Property
754,SMART DEAL PROPERTY
755,Menara Properti
756,SM PROPERTY
757,INMAX PROPERTY
758,Ray White One Musi
759,Hepi Property
760,Asari Realtindo
761,APRO
762,Xavier Marks Gold Suncity
763,LJ Hooker Kuta
764,ERA JATIM REALTY
765,ERA Santika
766,GRAHA EMERALD
767,REBORN PROPERTY
768,Xavier Marks Grande
769,Galaxy Central
770,Mansion Satelit
771,Ray White HR. Muhammad
772,Starworks Property
773,Mansion Royale
774,BALI NIRMANA PROPERTY
775,SERENITY PROPERTY
776,ERA Next
777,VERVE DEVELOPMENTS
778,XAVIER MARKS GRANDE HOME
779,Harcourts Victory
780,Tangga Dunia Grup
781,Xavier Marks Betterland
782,BALI REALTY 
783,Be The Best Property
784,Pro EdGe
785,Ray White Darmo Permai
786,Galaxy CBD
787,Galaxy Kertajaya
788,Ray White Dieng Malang
789,Piramida Property
790,Axell Citraland
791,Xavier Marks Arundaya
792,Jaguar Property
793,Century21 Best
794,HAMAS PROPERTY
795,SPECIALIST PROPERTY
796,EXCEL REALTY
797,Emerald Real Estate Agent
798,BALI REALTY HOLIDAY VILLAS
799,RAY WHITE KUTA
800,ALEXA PROPERTY
801,Victory Pro
802,Balimoves Property
803,PARADISE PROPERTY GROUP
804,MEDIA PROPERTY
805,Diamond Property
806,Bali Cool Property
807,EON PROPERTY
808,Deal Property
809,LJ Hooker Panakkukang
810,PropertyPro
811,Harcourts Purba
812,ASSET.Pro
813,Homelend.id
814,Brighton Makassar
815,86 Property
816,Landmark Property
817,SE Property
818,Sanjaya Property
819,BVR Property
820,46 Property
821,Hakafrima
822,VILLA BALI TROPIC
823,BALI TREASURE PROPERTIES
824,Max87 Property
825,Bali Select Property
826,Phinisi Property
827,LUXINDO PROPERTY
828,MITRA ANDALAN PROPERTY
829,RAJA VILLA PROPERTY
830,Bali Land Office
831,Power Property
832,XCLUSIVE PROPERTY
833,Annie Dean Properties
834,Internasional Property
835,GRAND PROPERTY
836,LUCKY STAR
837,Keni Land Property
838,RED LOTUS PROPERTY
839,Bali Je T'aime Property
840,GRAHA CROWN PROPERTY
841,DUNIA PORPERTI
842,My Property
843,Bali Coconut Living
844,Exotiq Property
845,RAY WHITE SEMINYAK
846,Lims Property
847,RAY WHITE UBUD
848,Best Property Medan
849,Prima Ubud Property
850,Pasar Property
851,BALI HOME IMMO
852,LJ Hooker Nusa Dua
853,Star Property Cemerlang
854,Peta Rumah
855,Meta Property
856, 
857,PROPERTIA BALI
858,ONYX PROPERTY
859,SUASA REAL ESTATE
860,Promex Palembang
861,Jo n Jo Realty
862,HARCOURTS PALEMBANG
863,In Come Realty
864,SEVEN STONES INDONESIA
865,MKS AGEN PROPERTY
866,LUCENTEAST
867,Bali Bintang Langit
868,Pro Agency
869,GNP PROPERTY
870,OPTIMUM BALI
871,HOME XP
872,PARADIGM PROPERTIES
873,Quantum Property
874,NIRWANA PROPERTY
875,Alfa Property
876,MUTIARA PROPERTY BALI
877,PROMEX DYNAMIC 
878,KIBARER
879,Duta Property
880,GRIYA INDONESIA REAL ESTATE
881,BIPRO
882,Teman Baik
883,Hutama Grup Properti
884,ERA XPRO
885,REGENT PROPERTY
886,LJ Hooker Grand Canggu
887,Indocorp Property
888,Pepo Property
889,MITRA PROPERTI
890,Suryawan Gemilang Sukses
891,GAIA Property
892,REYZIITA
893,Luxury Dream Escapes
894,ERA RINJANI
895,Blessing Property Palu
896,Mirah Property Group
897,KYU Property
898,Zeven Property
899,EPIC BALI
900,Brighton Real Estate
901,Uma Di Bali Properties
902,Heritage Bali
903,GOLDEN HARVEST PROPERTY
904,MATARAM REALTY
905,Galaxy Kuta
906,Total Property
907,Prime360
908,Pulau Indah Kencana
909,LJ Hooker Legenda Wisata
910,Ray White Cibubur
911,Akazora Property Management
912,Indohouse
913,Orange Property
914,RAY WHITE SUTAMI
915,Ray White Riau Bandung
916,Whizpro
917,ERA SKY
918,Artha Property
919,PropertyPRO
920,Sentra Properti
921,ERA D'Mitra
922,Solusi Realty
923,RAY WHITE HARAPAN INDAH BOULEVARD
924,ANH Property
925,ERA Ruby
926,Century 21 Harvest
927,LJ HOOKER GRAND GALAXY
928,Central Plus Property
929,LJ HOOKER CINERE
930,Promex Jati Asih
931,Brown & White Property Agent
932,Century21 Rasi Utama
933,Grande Realty
934,Victory 88 Property
935,G M P
936,CENTURY21 PERMATA
937,ERA Bandung
938,Era Mentari
939,EHALC INDONESIA
940,Era Pratama
