no,reg number,name of establishment,address,products
179,HK 473,"Dried workshop -PACIFIC SEAFOOD Co., Ltd. (PSC)","Lot La-1, Road No.1, Trans-asia Industrial&residential Park, Duc Hoa District, Long An Province",Dried
180,DH 165,Yueh Chyang Canned Food Company Limited,"Hamlet 1, Nhut Chanh Village, Ben Luc District, Long An Province",Canned
181,DH 174,Foodtech Joint Stock Company (FOODTECH JSC),"Hamlet 1 , Nhut Chanh Village, Ben Luc District, Long An Province",Canned
182,NM 56,THANH NHA SAUCE P.T.E - BRANCH 1 (T.N PTE BR.1),"200b, Hamlet 9, Luong Hoa Village, Ben Luc District, Long An Province",Fish sauce
183,DL 19,MeKong Group,"Hamlet No.3, An Hoa Commune, Chau Thanh District, Ben Tre Province",Frozen
184,DL 84,Bentre Seafood joint stock company - BESEACO,"457c Nguyen Dinh Chieu Street, Ward 8, Ben Tre City, Ben Tre Province",Frozen
185,DL 86,"Factory II, Ba Lai Processing Factory - Ben Tre Forestry and Aquaproduct Import-Export Company (FAQUIMEX)","71 Lot B, National Road 60, Chau Thanh Townlet, Chau Thanh District, Ben Tre Province",Frozen
186,DL 22,Ben Tre Aquaproduct Import and Export Joint Stock Company - AQUATEX BENTRE,"Tan Thach Village, Chau Thanh District, Ben Tre Province",Frozen
187,DL 28,Ba Tri seafood Factory (B.T seafood),"Hamlet 8, An Thuy Village, Ba Tri District, Ben Tre Province",Frozen
188,DL 333,Ben Tre Forestry and Aquaproduct import - export joint stock company - Ba Lai processing plant (FAQUIMEX),"No 71, 3rd Quarter, National Road 60, Chau Thanh Townlet, Chau Thanh District, Ben Tre Province",Frozen
189,DL 740,Hai Huong Seafood Joint Stock Company (HHFISH),"Lot A8-a9, An Hiep Industrial Zone, Chau Thanh District, Ben Tre Province",Frozen
190,HK 182,"PACIFIC SEAFOOD CO., LTD - PSC.","3rd Quarter, Binh Dai Town, Binh Dai District, Ben Tre Province",Dried
191,DL 21,"An Lac Company Limited - ANLAC SEAFOOD CO., LTD","Phong Thuan Hamlet, Tan My Chanh Commune, My Tho City, Tien Giang Province",Frozen
192,DL 27,"Asia Pangasius Co., Ltd.","Block 38-39, My Tho Industrial Zone, My Tho City, Tien Giang Province",Frozen
193,DL 127,SONG TIEN SEAFOOD CORPORATION (SOTICO),"Tan Thuan Hamlet, Binh Duc Village, Chau Thanh District, Tien Giang Province",Frozen
194,DL 252,Vietphu foods & fish Corporation (VIET PHU FOODS AND FISH CORP),"Lot 34-36, My Tho Industrial Zone, Chau Thanh District, Tien Giang Province",Frozen
195,DL 299,"Badavina Co., Ltd.","Lot 52, My Tho Industrial Zone, Chau Thanh District, Tien Giang Province",Frozen
196,DL 350,"Gallant Ocean (Viet Nam) Co., Ltd.","Lot B10-11, Suoi Dau Industrial Zone, Dien Khanh District, Khanh Hoa Province",Frozen
197,DL 259,CA NA SEAFOOD IMPORT EXPORT JOINT STOCK COMPANY (CANASEAFOOD.CO),"Ca Na Port, Ca Na Commune, Thuan Nam District, Ninh Thuan Province",Frozen
198,DL 241,Binh Thuan import export joint stock company - THAIMEX,"75-77 Vo Thi Sau Street, Hung Long Ward, Phan Thiet City, Binh Thuan Province",Frozen
199,HK 453,Phuong Hai seaproduct Private business,"Lot A, Processing Seaproduct Zone, Phan Thiet South Of Seaproduct Port, Duc Thang Ward, Phan Thiet City, Binh Thuan Province",Dried
200,DL 236,"Viet Nhan Co., Ltd.","No. 5, Road No.6, Song Than1 Industrial Zone, Di An District, Binh Duong Province",Frozen
201,DL 484,Export seaproducts processing enterprise III - Ba Ria Vung Tau seafoods processings and import - export joint stock company (BASEAFOOD).,"Phuoc Hai Townlet, Dat Do District, Ba Ria Vung Tau Province",Frozen
202,HK 173,Export Seaproduct processing Enterprise IV - Ba Ria-Vung Tau Seafood processing and import-export joint stock company BASEAFOOD,"National Road 51a, Phuoc Trung Precinct, Ba Ria Town, Ba Ria Vung Tau Province",Dried
203,DL 355,Van Duc Food Export Joint â Stock Company,"Street 2f, Vinh Loc Industrial Zone, Binh Chanh District, Ho Chi Minh City",Frozen
204,DL 308,Hung Vuong Corporation (HV Corp.),"Lot 44, My Tho Industrial Zone, My Tho City, Tien Giang Province",Frozen
205,DL 354,GODACO SEAFOOD,"Lot 45, My Tho Industrial Zone, Chau Thanh District, Tien Giang Province",Frozen
206,DH 323,"Asia canned food factory, Asia food stuffs Import Export Company Limited","Dong Hoa Village, Song Thuan Ward, Chau Thanh District, Tien Giang Province",Canned
207,DH 459,"Trinity Viet Nam Co., Ltd (TRIVN)","Tan My Chanh Industrial Zone, My Tho City, Tien Giang Provicne",Canned
208,DL 493,"MINH THANG SEAFOODS CO.,LTD","No. 487, Group 20, Doi Ma Ii Hamlet, Vam Lang Village, Go Cong Dong District, Tien Giang Province",Frozen
209,DH 466,"ROYAL FOODS CO., LTD.","Lot 19-20, My Tho Industrial Zone, My Tho City, Tien Giang Province",Canned
210,DL 471,DAI THANH SEAFOODS -DATHACO,"Dong Hoa Hamlet, Song Thuan Village, Chau Thanh District, Tien Giang Province",Frozen
211,DL 380,"VIETDUC Trading Company Ltd. (VIETDUC Co., Ltd.)","Lot 45b, My Tho Industrial Zone, Chau Thanh District, Tien Giang Province",Frozen
212,DL 386,Hung Vuong Corporation (HV Corp.) - Workshop II,"Lot 45-46, My Tho Industrial Zone, My Tho City, Tien Giang Province",Frozen; Alive
