no,reg number,name of establishment,address,products
587,3500/02295,"Fujian Fuyang Aquatic Foods Co., Ltd","Centralized Industrial Zone Longtou Country, Sansha Town, Xiapu County, Fujian, China",Fishery Products
588,3500/02023,"Fuqing Furong Food Co.,Ltd","Paibian, Shangjin, Fuqing, Fujian, China",Fishery Products
589,1300/02262,"Changli Haidong Aquatic Product  And Food Stuff Co., Ltd","South Chiyangkou Village, Changli County, Qinhuangdao City, Hebei Province, China","I.Q.F Scallop Adductor, Frozen Poulp Squid, Frozen Boiled Scallop Meat, Frozen Boiled Baby Clam Meat, Dried Scallop"
590,3500/02279,"Shengyuan  Aquatic Food Co.,Ltd.Ningde Fujian ","Erdu Feiluan Town,ningde,fujian,china",Fishery Product
591,3500/02280,"Fujian Dongshan Global Seafoods Co.,Ltd","Gongmao Zone, Xipu Town, Dongshan County, Fujian Province, China",Fishery Products
592,3500/02281,"Zhaoan County Pu Song Meiling Frozen Aquatic Products  Co.,Ltd.","Zhaoan County,zhangzhou City, Fujian Province Town Of Meiling Village",Fishery Products
593,4400/02318," Yangjiang City Yonghao Seafood Co., Ltd.","Beihuan Rd, Zhapo Town,yangjiang City, Guangdong, China",Fishery Products
594,3300/02051,"ZHOUSHAN BANCHANG FROZEN SEAFOODS CO., LTD",Marine Organisms Industry Zone Shenjiamen Putuo Zhoushan Zhejiang China,"Frozen Seafish Fillet (Including Histamine), Frozen Shrimp (Pud), Frozen (Cut) Swimming Crab, Frozen Cephalopods, Frozen Seafood Mix, Frozen Precooked"
595,3502/02059,"Fujian Xinhuadong Foods Co., Ltd",Shanbian Village Shentu Town Zhangpu Fujian,Fishery Products
596,3500/02283,"Fujian  Huahai  Aquatic  Products  Co., Ltd.","East Coast Public Bonded Warehouse In Chenan East-west Road 2 Of Kangmei  Town, Dongshan County, Fujian, China",Fishery Products
597,3700/02585,Qingdao Tianyuan Aquatic Foodstuffs Co.ï¼Ltd,"Jiulong Industrial Zone, Jiaozhou, Qingdao, China",Fishery Products
598,4400/02002,"Guangdong Gourmet Aquatic Products Co., Ltd.","Tanba Industrial Park, Wuchuan, Guangdong, China",Fishery Products
599,4400/02326,"Shantou Jintai Aquatic Product Industrial Co., Ltd","Xindi Area Of Anhai Road, Haimen Town, Chaoyang District,shantou,guangdong,china",Fishery Products
600,3500/02297,"Zhangzhou Minzheng Food Co.,Ltd","Wuyuan Administration Zone, Changshan Economic Development Area, Zhangzhou City, Fujian, China",Fishery Products
601,3500/02287,"Fujian Huxing Aquaculture Co., Ltd","No. 10 Industrial Park, Keren Village, Shenhu Town, Jinjiang City, Fujian, China",frozen
602,3500/02301,"Zhangzhou Changshan Chenxing Frozen Foods Co., Ltd","Wuyuan Management Are, Changshan Overseas Chinese Economic Development Zone, Zhangzhou, Fujian, China",Fishery Produtcs
603,3500/02311,"Fujian Jiafeng Agriculture Development Co.,Ltd","Juyangban Feiluan Town, Jiaocheng District, Ningde, Fujian, China",Fishery Products
604,2100/02929,"Dalian Fulejia Foodstuffs Co.,ltd.",Xiaoshi Village Xinhua Street Zhuanghe City Dalian,Fishery Products
605,4500/02043,"Dongxing City HengYang Industrial Co., Ltd","Jiang Ping Industry Garden Area Deep Pool Lucky Piece Area D-7-4-1 Number, Dongxing City,",Fishery Products
606,3300/02117,"ZHOUSHAN CHANGQING MARINE FOOD CO., LTD.","Putuo Marine Industy Zone, Zhoushan, Zhejiang, China",Fishery Products
