no,nama pts,website
284,034195 Akademi Perekam Medis Dan Infokes Bhumi Husada,
285,034196 Akademi Kesehatan Swakarsa Jakarta,
286,034197 Akademi Farmasi Bhumi Husada,http://akademifarmasi.com/
287,034198 Akademi Kebidanan Bhinneka Jakarta Satu,http://www.akbid-bjs.ac.id/
288,034199 Akademi Refraksi Optisi Kartika Indera Persada,http://arokartikainderapersada.com/
289,034201 Akademi Kebidanan Yayasan Rumah Sakit Jakarta,http://akbidyrsj.ac.id/
290,034202 Akademi Farmasi Mahadhika,http://akfar.mahadhika.or.id/
291,034204 Akademi Keperawatan RS Husada,http://www.akperhusada.ac.id/
292,034205 Akademi Manajemen Keuangan BSI Jakarta,http://www.bsi.ac.id/
293,034206 Akademi Audiologi Indonesia Jakarta,
294,034207 Akademi Kebidanan Jayakarta Sehat,
295,034208 Akademi Terapi Wicara Jakarta,
296,034209 Akademi Keperawatan Bina Insan Jakarta,http://www.akperbinainsan.com/
297,034210 Akademi Keperawatan POLRI,
298,034211 Akademi Keperawatan Husada Karya Jaya,
299,034212 Akademi Kebidanan Kartini Jakarta,http://www.akbidkartinijakarta.ac.id/
300,034213 Akademi Pariwisata Bhakti Nusantara,http://akparbhaktinusantara.blogspot.com/
301,034214 Akademi Keperawatan Fatmawati,http://www.akperfatmawati.ac.id/
302,034218 Akademi Keperawatan Sumber Waras,
303,034219 Akademi Kebidanan Budi Kemuliaan,
304,034220 Akademi Kebidanan RSPAD Gatot Soebroto,
305,034221 Akademi Farmasi IKIFA,
306,034223 Akademi Keperawatan Pelni,http://akper-rspelni.ac.id/
307,034224 Akademi Keperawatan RSPAD Gatot Subroto,
308,034225 Akademi Kesehatan Gigi Ditkesad Jakarta,
309,034226 Akademi Keperawatan Andalusia Jakarta,
310,034227 Akademi Kesehatan Lingkungan Andalusia,
311,034228 Akademi Gizi Andalusia,
312,034229 Akademi Keperawatan YPDR,
313,034230 Akademi Refraksi Optisi dan Optometry Gapopin,
314,034231 Akademi Keperawatan Antariksa,http://aro-gapopin.blogspot.com/
315,034234 Akademi Teknik Radiodiagnostik dan Radioterapi Nusantara,
316,034235 Akademi Keperawatan Yayasan Dharma Bhakti,
317,034236 Akademi Fisioterapi Universitas Kristen Indonesia,
318,034237 Akademi Refraksi Optisi Leprindo Jakarta,
319,034239 Akademi Keperawatan Andakara,
320,034240 Akademi Teknik Elektromedik Andakara,
321,034241 Akademi Bakti Kemanusiaan Palang Merah Indonesia,
322,034242 Akademi Olahraga Prestasi Nasional,
323,035002 Politeknik Swadharma,http://www.poltek-swadharma.ac.id/
324,035003 Politeknik Manufaktur Astra,http://www.polman.astra.ac.id/
325,035004 Politeknik Bunda Kandung,
326,035006 Politeknik Tugu Jakarta,http://www.poltektugu.info/
327,035008 Politeknik LP3I Jakarta,http://www.politekniklp3i-jkt.ac.id/
328,035009 Politeknik Global Indonesia,
329,035010 Politeknik Karya Husada,http://khj.ac.id/
330,035012 Politeknik Soca,
331,035013 Politeknik Orang Tua,
332,035014 Politeknik Bentara Citra Bangsa,
333,035015 Politeknik Bisnis dan Pasar Modal,
334,036001 Akademi Komunitas Kosmetik Ristra,
