no,rank,character,animeography,mangaography,favorites
492,492,"Rockbell, Winry","['Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa']",['Fullmetal Alchemist'],3651
493,493,"Katsuki, Yuuri",['Yuri!!! on Ice'],[],3648
494,494,Crona,['Soul Eater'],['Soul Eater'],3648
495,495,"Kururugi, Suzaku","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps']","['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hankou no Suzaku', 'Code Geass: Nightmare of Nunnally']",3646
496,496,Konjiki no Yami,"['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness OVA', 'To LOVE-Ru Darkness 2nd']","['To LOVE-Ru Darkness', 'To LOVE-Ru', 'To LOVE-Ru Darkness: Little Sisters']",3636
497,497,Hestia,"['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II']","['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka 4-koma']",3634
498,498,"Kousaka, Kirino","['Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai.']","['Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai Comic Anthology']",3611
499,499,"Kuroba, Kaito","['Detective Conan Movie 08: Magician of the Silver Sky', 'Detective Conan OVA 01: Conan vs. Kid vs. Yaiba', 'Detective Conan OVA 04: Conan and Kid and Crystal Mother']","['Magic Kaito', 'Detective Conan', 'Detective Conan Tokubetsu-hen']",3600
500,500,"Toshinou, Kyouko","['Yuru Yuri', 'Yuru Yuri♪♪', 'Yuru Yuri Nachuyachumi!']","['Yuru Yuri', 'Reset!', 'Oomuro-ke']",3596
501,501,"Hyuuga, Neji","['Naruto: Shippuuden Movie 1', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto']","['Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Road to Ninja: Naruto the Movie']",3592
