no,rank,title,type,total_eps,show_time,member,score,link_page
13346,"
13346
",Seishun Fuufu Monogatari: Koiko no Mainichi,OVA,2,Sep 1989 - Mar 1990,548,N/A,https://myanimelist.net/anime/10045/Seishun_Fuufu_Monogatari__Koiko_no_Mainichi
13347,"
13347
",Seishun no Kao,Music,1,Apr 1992 - Apr 1992,28,N/A,https://myanimelist.net/anime/50147/Seishun_no_Kao
13348,"
13348
",Seito Shokun! Kokoro ni Midori no Neckerchief wo,Special,1,Feb 1986 - Feb 1986,370,N/A,https://myanimelist.net/anime/17835/Seito_Shokun_Kokoro_ni_Midori_no_Neckerchief_wo
13349,"
13349
",Seizei Ganbare! Mahou Shoujo Kurumi 2nd Season,ONA,25,Oct 2018 - Oct 2019,608,N/A,https://myanimelist.net/anime/38175/Seizei_Ganbare_Mahou_Shoujo_Kurumi_2nd_Season
13350,"
13350
",Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,TV,25,Oct 2020 - Sep 2021,901,N/A,https://myanimelist.net/anime/42482/Seizei_Ganbare_Mahou_Shoujo_Kurumi_3rd_Season
13351,"
13351
",Sekai Douwa Anime Zenshuu,OVA,10,Jun 1990 - Jun 1990,445,N/A,https://myanimelist.net/anime/7216/Sekai_Douwa_Anime_Zenshuu
13352,"
13352
",Sekai Jinken Sengen,OVA,1,1988 - 1988,95,N/A,https://myanimelist.net/anime/35020/Sekai_Jinken_Sengen
13353,"
13353
",Sekai Meisaku Douwa Series,TV,4,Apr 1988 - Apr 1988,383,N/A,https://myanimelist.net/anime/30028/Sekai_Meisaku_Douwa_Series
13354,"
13354
",Sekai no Fushigi Tanken Series,TV,10,1978 - 1978,157,N/A,https://myanimelist.net/anime/25607/Sekai_no_Fushigi_Tanken_Series
13355,"
13355
",Sekai no Hikari: Shinran Shounin,OVA,6,1992 - Mar 1999,182,N/A,https://myanimelist.net/anime/22523/Sekai_no_Hikari__Shinran_Shounin
13356,"
13356
",Sekai no Ouja: King Kong Taikai,Special,1,Dec 1966 - Dec 1966,260,N/A,https://myanimelist.net/anime/27379/Sekai_no_Ouja__King_Kong_Taikai
13357,"
13357
",Sekai wo Musubou,Music,1,Apr 1992 - Apr 1992,96,N/A,https://myanimelist.net/anime/40831/Sekai_wo_Musubou
13358,"
13358
",Sekisou-tai,Movie,1,1982 - 1982,120,N/A,https://myanimelist.net/anime/34718/Sekisou-tai
13359,"
13359
",Sema Kuruoshii Ie,ONA,1,Jul 2019 - Jul 2019,234,N/A,https://myanimelist.net/anime/42047/Sema_Kuruoshii_Ie
13360,"
13360
",Semi wa Magic Cube,TV,26,Aug 2018 - Feb 2019,770,N/A,https://myanimelist.net/anime/43684/Semi_wa_Magic_Cube
13361,"
13361
",Semi wa Magic Cube 2nd Season,TV,26,Mar 2020 - May 2020,883,N/A,https://myanimelist.net/anime/43729/Semi_wa_Magic_Cube_2nd_Season
13362,"
13362
",Sen no Hana Sen no Sora,Music,1,Oct 2005 - Oct 2005,122,N/A,https://myanimelist.net/anime/42725/Sen_no_Hana_Sen_no_Sora
13363,"
13363
",Senaka de Twist,Music,1,Dec 1989 - Dec 1989,130,N/A,https://myanimelist.net/anime/37198/Senaka_de_Twist
13364,"
13364
",Senbon Matsubara,Movie,1,Jul 1992 - Jul 1992,293,N/A,https://myanimelist.net/anime/19167/Senbon_Matsubara
13365,"
13365
",Sengoku Bushou Retsuden Bakufuu Douji Hissatsuman,OVA,3,Jun 1990 - Oct 1990,312,N/A,https://myanimelist.net/anime/16788/Sengoku_Bushou_Retsuden_Bakufuu_Douji_Hissatsuman
13366,"
13366
",Senjutsu Choukoukaku Orion,Special,1,Jun 2010 - Jun 2010,465,N/A,https://myanimelist.net/anime/8955/Senjutsu_Choukoukaku_Orion
