no,nama file,tahun,tautan
36,"Daftar Arsip Tekstual Sekretariat Negara Seri Tromol Pos 5000 Prov. Bengkulu, Lampung, DKI Jakarta (1988-1990)",1988,https://anri.go.id//download/daftar-arsip-tekstual-sekretariat-negara-seri-tromol-pos-5000-prov.-bengkulu-lampung-dki-jakarta-19881990-1630544667
37,Daftar Arsip Tekstual Sekretariat Negara Seri Tromol Pos 5000 Prov. Aceh & Sumatera Utara (1988-1990),1988,https://anri.go.id//download/daftar-arsip-tekstual-sekretariat-negara-seri-tromol-pos-5000-prov.-aceh-sumatera-utara-19881990-1630544610
38,Daftar Arsip Film PPFN Seri Gelora pembangunan 1978-1983,1978,https://anri.go.id//download/daftar-arsip-film-ppfn-seri-gelora-pembangunan-19781983-1586220260
39,Daftar Arsip Microfilm Familie Papieren,1977,https://anri.go.id//download/daftar-arsip-microfilm-familie-papieren-1633328143
40,"Daftar Arsip Rekaman Suara MP3 1973-1979, 1981-1991",1973,https://anri.go.id//download/daftar-arsip-rekaman-suara-mp3-19731979-19811991-1591257256
41,Daftar Arsip Video Sekretariat Negara 1973-1982,1973,https://anri.go.id//download/daftar-arsip-video-sekretariat-negara-19731982-1586219974
42,Daftar Arsip Video Sekretariat Negara 1972,1972,https://anri.go.id//download/daftar-arsip-video-sekretariat-negara-1972-1586219951
43,Daftar Arsip Kartografi BAKOSURTANAL 1972-2004,1972,https://anri.go.id//download/daftar-arsip-kartografi-bakosurtanal-19722004-1586219613
44,Daftar Arsip Kartografi De Haan 1700 -1900,19700,https://anri.go.id//download/daftar-arsip-kartografi-de-haan-1700-1900-1586219718
45,Daftar Arsip Kartografi BPS Sensus 1970 Prov. Jawa Tengah,1970,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1970-prov.-jawa-tengah-1586219692
46,Daftar Arsip Kartografi BPS Sensus 1970 Prov. Jawa Barat,1970,https://anri.go.id//download/daftar-arsip-kartografi-bps-sensus-1970-prov.-jawa-barat-1586219657
47,Daftar Arsip Tekstual Sekretariat Negara RI Seri Setwapres (1967) 1969-1999,1967,https://anri.go.id//download/daftar-arsip-tekstual-sekretariat-negara-ri-seri-setwapres-1967-19691999-1630544547
48,"Daftar Arsip Kearsitekturan Masjid Istiqlal 1961-1965, 1970-1977, 1980-1984",1961,https://anri.go.id//download/daftar-arsip-kearsitekturan-masjid-istiqlal-19611965-19701977-19801984-1586219839
49,Daftar Arsip Film PPFN-Siaran Khusus 1959-1978,1959,https://anri.go.id//download/daftar-arsip-film-ppfnsiaran-khusus-19591978-1586220317
50,Daftar Arsip Pidato Presiden Sukarno 1958-1967,1958,https://anri.go.id//download/daftar-arsip-pidato-presiden-sukarno-19581967-1608091645
51,Daftar Arsip Pidato Presiden Sukarno 1958-1967,1958,https://anri.go.id//download/daftar-arsip-pidato-presiden-sukarno-19581967-1608087272
52,Daftar Arsip Foto Sumatra Barat (1955-1965),1955,https://anri.go.id//download/daftar-arsip-foto-sumatra-barat-19551965-1633328058
53,Daftar Arsip Foto Kementrian Penerangan Wilayah Sumatera Barat 1955 - 1965,1955,https://anri.go.id//download/daftar-arsip-foto-kementrian-penerangan-wilayah-sumatera-barat-1955-1965-1586220916
