no,tautan,gambar,tipe,judul,lokasi,harga
6349,https://infolelang.bri.co.id/home/detailAsset?id_aset=V1SWQ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2021/11/4_20211126113523.jpg,jual_damai,RUMAH PRIBADI,"MANDAU, BENGKALIS KAB.",IDR 500.000.000
6350,https://infolelang.bri.co.id/home/detailAsset?id_aset=IHMFX&id_category=tanah,https://infolelang.bri.co.id/uploads/images//2021/11/8_20211126115111.jpg,jual_damai,tanah kosong,"MANDAU, BENGKALIS KAB.",IDR 250.000.000
6351,https://infolelang.bri.co.id/home/detailAsset?id_aset=QAGUZ&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/IMG_20200715_092608_20201117144553.jpg,jual_damai,ZULFRIZAL,"DUMAI BARAT, DUMAI KOT.",IDR 260.000.000
6352,https://infolelang.bri.co.id/home/detailAsset?id_aset=IV97F&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/0001_20201117132028.jpg,jual_damai,SURYO KUSUMO,"DUMAI BARAT, DUMAI KOT.",IDR 540.000.000
6353,https://infolelang.bri.co.id/home/detailAsset?id_aset=SYJTG&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/IMG20200714WA0047_20201117134621.jpg,jual_damai,MAYRIKO FERO HENDRIK PARDOSI,"DUMAI BARAT, DUMAI KOT.",IDR 445.000.000
6354,https://infolelang.bri.co.id/home/detailAsset?id_aset=D7SLW&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/4CROP_20201117140024.jpg,jual_damai,RAFKHAN,"BUKIT KAPUR, DUMAI KOT.",IDR 140.000.000
6355,https://infolelang.bri.co.id/home/detailAsset?id_aset=IKW7X&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/DSC04817_20201118171631.JPG,jual_damai,EMAWATI,"DUMAI BARAT, DUMAI KOT.",IDR 470.000.000
6356,https://infolelang.bri.co.id/home/detailAsset?id_aset=KNB6V&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/DSC04794_20201118170145.JPG,jual_damai,SYAMSUARMAN,"DUMAI TIMUR, DUMAI KOT.",IDR 190.000.000
6357,https://infolelang.bri.co.id/home/detailAsset?id_aset=K5XV9&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/IMG_20200304_094529_20201118173000.jpg,jual_damai,AYU FEBRIYANI,"DUMAI BARAT, DUMAI KOT.",IDR 275.000.000
6358,https://infolelang.bri.co.id/home/detailAsset?id_aset=2DW9F&id_category=bangunan,https://infolelang.bri.co.id/uploads/images//2020/11/IMG_20200207_122029_20201118174309.jpg,jual_damai,BOY ZULFAN RIADI,"DUMAI BARAT, DUMAI KOT.",IDR 160.000.000
